title,avg_rating,num_ratings,num_tags,genres_str
"Shawshank Redemption, The (1994)",4.429022082018927,317,4,"Crime, Drama"
"Godfather, The (1972)",4.2890625,192,1,"Crime, Drama"
Fight Club (1999),4.272935779816514,218,54,"Action, Crime, Drama, Thriller"
Cool Hand Luke (1967),4.271929824561403,57,1,Drama
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),4.268041237113402,97,10,"Comedy, War"
Rear Window (1954),4.261904761904762,84,6,"Mystery, Thriller"
"Godfather: Part II, The (1974)",4.25968992248062,129,3,"Crime, Drama"
"Departed, The (2006)",4.252336448598131,107,10,"Crime, Drama, Thriller"
Goodfellas (1990),4.25,126,1,"Crime, Drama"
Casablanca (1942),4.24,100,1,"Drama, Romance"
"Dark Knight, The (2008)",4.238255033557047,149,4,"Action, Crime, Drama, IMAX"
"Usual Suspects, The (1995)",4.237745098039215,204,6,"Crime, Mystery, Thriller"
"Princess Bride, The (1987)",4.232394366197183,142,2,"Action, Adventure, Comedy, Fantasy, Romance"
Star Wars: Episode IV - A New Hope (1977),4.231075697211155,251,26,"Action, Adventure, Sci-Fi"
Schindler's List (1993),4.225,220,7,"Drama, War"
Apocalypse Now (1979),4.219626168224299,107,1,"Action, Drama, War"
American History X (1998),4.217054263565892,129,5,"Crime, Drama"
Star Wars: Episode V - The Empire Strikes Back (1980),4.2156398104265405,211,10,"Action, Adventure, Sci-Fi"
Chinatown (1974),4.211864406779661,59,1,"Crime, Film-Noir, Mystery, Thriller"
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),4.2075,200,8,"Action, Adventure"
One Flew Over the Cuckoo's Nest (1975),4.203007518796992,133,3,Drama
Reservoir Dogs (1992),4.202290076335878,131,11,"Crime, Mystery, Thriller"
Pulp Fiction (1994),4.197068403908795,307,181,"Comedy, Crime, Drama, Thriller"
"Matrix, The (1999)",4.192446043165468,278,5,"Action, Sci-Fi, Thriller"
North by Northwest (1959),4.184210526315789,57,3,"Action, Adventure, Mystery, Romance, Thriller"
Amadeus (1984),4.184210526315789,76,2,Drama
"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",4.183333333333334,120,1,"Comedy, Romance"
Brazil (1985),4.177966101694915,59,0,"Fantasy, Sci-Fi"
Forrest Gump (1994),4.164133738601824,329,9,"Comedy, Drama, Romance, War"
Monty Python and the Holy Grail (1975),4.161764705882353,136,4,"Adventure, Comedy, Fantasy"
"Silence of the Lambs, The (1991)",4.161290322580645,279,6,"Crime, Horror, Thriller"
Eternal Sunshine of the Spotless Mind (2004),4.1603053435114505,131,34,"Drama, Romance, Sci-Fi"
Snatch (2000),4.155913978494624,93,0,"Comedy, Crime, Thriller"
Spirited Away (Sen to Chihiro no kamikakushi) (2001),4.155172413793103,87,1,"Adventure, Animation, Fantasy"
12 Angry Men (1957),4.149122807017544,57,9,Drama
"Green Mile, The (1999)",4.148648648648648,111,1,"Crime, Drama"
Life Is Beautiful (La Vita è bella) (1997),4.1477272727272725,88,8,"Comedy, Drama, Romance, War"
City of God (Cidade de Deus) (2002),4.1466666666666665,75,6,"Action, Adventure, Crime, Drama, Thriller"
Saving Private Ryan (1998),4.1462765957446805,188,1,"Action, Drama, War"
"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",4.145833333333333,72,1,"Action, Adventure, Western"
Star Wars: Episode VI - Return of the Jedi (1983),4.137755102040816,196,3,"Action, Adventure, Sci-Fi"
Inglourious Basterds (2009),4.136363636363637,88,5,"Action, Drama, War"
Memento (2000),4.122641509433962,159,13,"Mystery, Thriller"
To Kill a Mockingbird (1962),4.120689655172414,58,2,Drama
"Lord of the Rings: The Return of the King, The (2003)",4.118918918918919,185,10,"Action, Adventure, Drama, Fantasy"
Fargo (1996),4.116022099447513,181,5,"Comedy, Crime, Drama, Thriller"
Toy Story 3 (2010),4.109090909090909,55,0,"Adventure, Animation, Children, Comedy, Fantasy, IMAX"
"Lord of the Rings: The Fellowship of the Ring, The (2001)",4.106060606060606,198,7,"Adventure, Fantasy"
Taxi Driver (1976),4.105769230769231,104,1,"Crime, Drama, Thriller"
Blade Runner (1982),4.100806451612903,124,13,"Action, Sci-Fi, Thriller"
Full Metal Jacket (1987),4.098039215686274,102,2,"Drama, War"
Office Space (1999),4.090425531914893,94,2,"Comedy, Crime"
"Shining, The (1980)",4.08256880733945,109,9,Horror
Good Will Hunting (1997),4.078014184397163,141,3,"Drama, Romance"
Inception (2010),4.066433566433567,143,26,"Action, Crime, Drama, Mystery, Sci-Fi, Thriller, IMAX"
"Graduate, The (1967)",4.063291139240507,79,1,"Comedy, Drama, Romance"
L.A. Confidential (1997),4.061855670103093,97,1,"Crime, Film-Noir, Mystery, Thriller"
WALL·E (2008),4.0576923076923075,104,4,"Adventure, Animation, Children, Romance, Sci-Fi"
American Beauty (1999),4.056372549019608,204,0,"Drama, Romance"
"Lock, Stock & Two Smoking Barrels (1998)",4.052238805970149,67,0,"Comedy, Crime, Thriller"
Guardians of the Galaxy (2014),4.0508474576271185,59,4,"Action, Adventure, Sci-Fi"
Indiana Jones and the Last Crusade (1989),4.046428571428572,140,2,"Action, Adventure"
Citizen Kane (1941),4.043478260869565,69,1,"Drama, Mystery"
"King's Speech, The (2010)",4.043103448275862,58,0,Drama
Trainspotting (1996),4.03921568627451,102,4,"Comedy, Crime, Drama"
Army of Darkness (1993),4.03921568627451,51,0,"Action, Adventure, Comedy, Fantasy, Horror"
Back to the Future (1985),4.038011695906433,171,1,"Adventure, Comedy, Sci-Fi"
Psycho (1960),4.036144578313253,83,9,"Crime, Horror"
Wallace & Gromit: The Wrong Trousers (1993),4.035714285714286,56,1,"Animation, Children, Comedy, Crime"
It's a Wonderful Life (1946),4.0344827586206895,58,1,"Children, Drama, Fantasy, Romance"
Lost in Translation (2003),4.033783783783784,74,2,"Comedy, Drama, Romance"
Braveheart (1995),4.031645569620253,237,10,"Action, Drama, War"
Vertigo (1958),4.025,60,5,"Drama, Mystery, Romance, Thriller"
Shutter Island (2010),4.022388059701493,67,7,"Drama, Mystery, Thriller"
"Lord of the Rings: The Two Towers, The (2002)",4.0212765957446805,188,2,"Adventure, Fantasy"
The Imitation Game (2014),4.02,50,2,"Drama, Thriller, War"
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),4.018796992481203,133,35,"Action, Crime, Drama, Thriller"
This Is Spinal Tap (1984),4.015151515151516,66,4,Comedy
Some Like It Hot (1959),4.01,50,1,"Comedy, Crime"
Shaun of the Dead (2004),4.0064935064935066,77,1,"Comedy, Horror"
"Prestige, The (2006)",4.0055555555555555,90,3,"Drama, Mystery, Sci-Fi, Thriller"
Jaws (1975),4.0054945054945055,91,1,"Action, Horror"
Stand by Me (1986),4.0054945054945055,91,1,"Adventure, Drama"
Up (2009),4.004761904761905,105,13,"Adventure, Animation, Children, Drama"
Hot Fuzz (2007),4.0,61,1,"Action, Comedy, Crime, Mystery"
"Beautiful Mind, A (2001)",4.0,123,1,"Drama, Romance"
Run Lola Run (Lola rennt) (1998),4.0,75,1,"Action, Crime"
"Clockwork Orange, A (1971)",3.995833333333333,120,1,"Crime, Drama, Sci-Fi, Thriller"
"Dark Knight Rises, The (2012)",3.9934210526315788,76,8,"Action, Adventure, Crime, IMAX"
Interstellar (2014),3.993150684931507,73,10,"Sci-Fi, IMAX"
Young Frankenstein (1974),3.9927536231884058,69,1,"Comedy, Fantasy"
"Fugitive, The (1993)",3.9921052631578946,190,1,Thriller
Raising Arizona (1987),3.9913793103448274,58,1,Comedy
Platoon (1986),3.984126984126984,63,1,"Drama, War"
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),3.983050847457627,177,10,"Mystery, Sci-Fi, Thriller"
Donnie Darko (2001),3.981651376146789,109,29,"Drama, Mystery, Sci-Fi, Thriller"
"Sting, The (1973)",3.9765625,64,1,"Comedy, Crime"
Seven (a.k.a. Se7en) (1995),3.9753694581280787,203,3,"Mystery, Thriller"
28 Days Later (2002),3.9741379310344827,58,2,"Action, Horror, Sci-Fi"
"Christmas Story, A (1983)",3.9727272727272727,55,1,"Children, Comedy"
