movie,genre
Ferdinand (2017),Children
Harriet the Spy (1996),Children
Madagascar (2005),Children
Dragon Ball: Mystical Adventure (Doragon bôru: Makafushigi dai bôken) (1988),Children
Gordy (1995),Children
Who Framed Roger Rabbit? (1988),Children
"It's the Great Pumpkin, Charlie Brown (1966)",Children
"Big Green, The (1995)",Children
Please Don't Eat the Daisies (1960),Children
Night at the Museum: Secret of the Tomb (2014),Children
Freaky Friday (1977),Children
Spy Kids 2: The Island of Lost Dreams (2002),Children
Shark Tale (2004),Children
Aladdin (1992),Children
Lady and the Tramp (1955),Children
Like Mike (2002),Children
Fly Away Home (1996),Children
"Secret of Roan Inish, The (1994)",Children
Wizards of Waverly Place: The Movie (2009),Children
Pixel Perfect (2004),Children
Willy Wonka & the Chocolate Factory (1971),Children
Solo: A Star Wars Story (2018),Children
Coco (2017),Children
"Computer Wore Tennis Shoes, The (1969)",Children
Zootopia (2016),Children
Darby O'Gill and the Little People (1959),Children
Cats & Dogs (2001),Children
"Journey of Natty Gann, The (1985)",Children
"Black Cauldron, The (1985)",Children
"Grand Day Out with Wallace and Gromit, A (1989)",Children
First Kid (1996),Children
Ice Princess (2005),Children
Annie (1982),Children
Mulan II (2004),Children
Asterix & Obelix vs. Caesar (Astérix et Obélix contre César) (1999),Children
"Christmas Carol, A (1938)",Children
Charlotte's Web (1973),Children
"Tale of Despereaux, The (2008)",Children
Another Cinderella Story (2008),Children
Two Brothers (Deux frères) (2004),Children
Anne of Green Gables: The Sequel (a.k.a. Anne of Avonlea) (1987),Children
Snow Dogs (2002),Children
Vacancy (2007),Thriller
U-571 (2000),Thriller
For Your Eyes Only (1981),Thriller
"Haunting in Connecticut, The (2009)",Thriller
The Rocky Horror Picture Show: Let's Do the Time Warp Again (2016),Thriller
Dead Calm (1989),Thriller
Kill the Messenger (2014),Thriller
Z (1969),Thriller
"Prestige, The (2006)",Thriller
Jennifer's Body (2009),Thriller
Shrooms (2007),Thriller
La Cérémonie (1995),Thriller
"Devil's Backbone, The (Espinazo del diablo, El) (2001)",Thriller
"What's Up, Tiger Lily? (1966)",Thriller
Doomsday (2008),Thriller
Get the Gringo (2012),Thriller
Zulu (2013),Thriller
"Devil's Own, The (1997)",Thriller
Anacondas: The Hunt for the Blood Orchid (2004),Thriller
Babel (2006),Thriller
The Green Inferno (2014),Thriller
Fright Night (1985),Thriller
The Adderall Diaries (2015),Thriller
Sunshine (2007),Thriller
Puppet Master III: Toulon's Revenge (1991),Thriller
"Tenant, The (Locataire, Le) (1976)",Thriller
Resident Evil: Extinction (2007),Thriller
Wicked Blood (2014),Thriller
Jurassic Park (1993),Thriller
Dark Blue (2003),Thriller
Saw VII 3D - The Final Chapter (2010),Thriller
Angels & Demons (2009),Thriller
"Samouraï, Le (Godson, The) (1967)",Thriller
Deliverance (1972),Thriller
"Day of the Jackal, The (1973)",Thriller
Extreme Measures (1996),Thriller
"Best Offer, The (Migliore offerta, La) (2013)",Thriller
Dead Men Don't Wear Plaid (1982),Thriller
Buddy Boy (1999),Thriller
Return to Sender (2015),Thriller
Boogeyman (2005),Thriller
Carnival of Souls (1962),Thriller
Unforgettable (1996),Thriller
Basic Instinct 2 (2006),Thriller
"Vanishing, The (1993)",Thriller
"Silent Night, Deadly Night (1984)",Thriller
Stuck (2007),Thriller
"Fast & Furious 6 (Fast and the Furious 6, The) (2013)",Thriller
The Girl with All the Gifts (2016),Thriller
I Spit on Your Grave (Day of the Woman) (1978),Thriller
"Client, The (1994)",Thriller
"I, the Jury (1982)",Thriller
Some Folks Call It a Sling Blade (1993),Thriller
Changing Lanes (2002),Thriller
Upstream Color (2013),Thriller
Ringu 0: Bâsudei (2000),Thriller
Twisted (2004),Thriller
Marathon Man (1976),Thriller
Time After Time (1979),Thriller
Premium Rush (2012),Thriller
Colombiana (2011),Thriller
Undercurrent (1946),Thriller
Final Destination 3 (2006),Thriller
Julia (2014),Thriller
Insurgent (2015),Thriller
K-19: The Widowmaker (2002),Thriller
"Punisher, The (2004)",Thriller
Angel Eyes (2001),Thriller
Exorcist: The Beginning (2004),Thriller
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Thriller
Inland Empire (2006),Thriller
Misery (1990),Thriller
Bully (2001),Thriller
"Mothman Prophecies, The (2002)",Thriller
"Terminator, The (1984)",Thriller
Legion (2010),Thriller
Kindergarten Cop (1990),Thriller
"Girl Who Played with Fire, The (Flickan som lekte med elden) (2009)",Thriller
"Descent, The (2005)",Thriller
"Perfect Crime, The (Crimen Ferpecto) (Ferpect Crime) (2004)",Thriller
Strangeland (1998),Thriller
Hannibal (2001),Thriller
Ghosts of Mars (2001),Thriller
Kiss the Girls (1997),Thriller
"Pelican Brief, The (1993)",Thriller
Hazard (2005),Thriller
"Business of Strangers, The (2001)",Thriller
"Haunting, The (1963)",Thriller
Osmosis Jones (2001),Thriller
Ransom (1996),Thriller
Ravenous (1999),Thriller
Point of No Return (1993),Thriller
Requiem (2006),Thriller
City of God (Cidade de Deus) (2002),Thriller
D.O.A. (1988),Thriller
"Missing, The (2003)",Thriller
Battleship (2012),Thriller
"Bourne Legacy, The (2012)",Thriller
Tenebre (1982),Thriller
Marnie (1964),Thriller
Ballistic: Ecks vs. Sever (2002),Thriller
Chaos (2005),Thriller
Sin Nombre (2009),Thriller
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Thriller
The 5th Wave (2016),Thriller
"Boondock Saints II: All Saints Day, The (2009)",Thriller
Firestarter (1984),Thriller
"Liability, The (2012)",Thriller
Spiral (2007),Thriller
"Brave One, The (2007)",Thriller
Creep (2014),Thriller
Captain Phillips (2013),Thriller
Predator (1987),Thriller
Insomnia (1997),Thriller
Supernova (2000),Thriller
Bad Karma (2012),Thriller
Niagara (1953),Thriller
Lady Vengeance (Sympathy for Lady Vengeance) (Chinjeolhan geumjassi) (2005),Thriller
Ninja (2009),Thriller
Machete Kills (Machete 2) (2013),Thriller
The Perfect Guy (2015),Thriller
Rubber (2010),Thriller
Kill Bill: Vol. 1 (2003),Thriller
"Rock, The (1996)",Thriller
Punisher: War Zone (2008),Thriller
Maximum Risk (1996),Thriller
"Tailor of Panama, The (2001)",Thriller
Metro (1997),Thriller
Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers) (1995),Thriller
"Marine, The (2006)",Thriller
"Road Warrior, The (Mad Max 2) (1981)",Thriller
"Gunman, The (2015)",Thriller
JFK (1991),Thriller
Rawhead Rex (1986),Thriller
Non-Stop (2014),Thriller
A Most Wanted Man (2014),Thriller
"Secret in Their Eyes, The (El secreto de sus ojos) (2009)",Thriller
"Babysitter, The (1995)",Thriller
True Romance (1993),Thriller
Enough (2002),Thriller
"Lookout, The (2007)",Thriller
Dragon Ball Z the Movie: The World's Strongest (a.k.a. Dragon Ball Z: The Strongest Guy in The World) (Doragon bôru Z: Kono yo de ichiban tsuyoi yatsu) (1990),Thriller
WarGames (1983),Thriller
Headhunters (Hodejegerne) (2011),Thriller
10 Cloverfield Lane (2016),Thriller
"Ear, The (Ucho) (1970)",Thriller
Wild at Heart (1990),Thriller
Reindeer Games (2000),Thriller
"Salton Sea, The (2002)",Thriller
The Circle (2016),Thriller
Dead Again (1991),Thriller
"Human Stain, The (2003)",Thriller
"Truth About Charlie, The (2002)",Thriller
Cube (1997),Thriller
"Fan, The (1996)",Thriller
Arsenic and Old Lace (1944),Thriller
Domestic Disturbance (2001),Thriller
Zero Effect (1998),Thriller
"Thing, The (2011)",Thriller
"Call, The (2013)",Thriller
Rise of the Planet of the Apes (2011),Thriller
Ginger Snaps (2000),Thriller
"Das Experiment (Experiment, The) (2001)",Thriller
Some Guy Who Kills People (2011),Thriller
eXistenZ (1999),Thriller
Shadow Conspiracy (1997),Thriller
Mean Creek (2004),Thriller
"Number 23, The (2007)",Thriller
Traitor (2008),Thriller
Poker Night (2014),Thriller
Tideland (2005),Thriller
Return to Paradise (1998),Thriller
Kill Bill: Vol. 2 (2004),Thriller
Martha Marcy May Marlene (2011),Thriller
"Professional, The (Le professionnel) (1981)",Thriller
"City of Lost Souls, The (Hyôryuu-gai) (2000)",Thriller
Goodbye Lover (1999),Thriller
"Perfect Storm, The (2000)",Thriller
Dirty Harry (1971),Thriller
Dracula (Bram Stoker's Dracula) (1992),Thriller
Drive Angry (2011),Thriller
Watchmen (2009),Thriller
"Net, The (1995)",Thriller
Another 48 Hrs. (1990),Thriller
"Negotiator, The (1998)",Thriller
Everest (2015),Thriller
My Bloody Valentine (1981),Thriller
"Nightmare on Elm Street, A (2010)",Thriller
"Craft, The (1996)",Thriller
Miami Vice (2006),Thriller
RoboCop (1987),Thriller
Thinner (1996),Thriller
Snakes on a Plane (2006),Thriller
Haunter (2013),Thriller
Wind River (2017),Thriller
Righteous Kill (2008),Thriller
Spider-Man (2002),Thriller
Underworld: Rise of the Lycans (2009),Thriller
Miller's Crossing (1990),Thriller
End of Watch (2012),Thriller
King Kong (1976),Thriller
Blade Runner (1982),Thriller
Man's Best Friend (1993),Thriller
"Way of the Gun, The (2000)",Thriller
The Scorpion King (2002),Thriller
Survive Style 5+ (2004),Thriller
Salt (2010),Thriller
Frozen (2010),Thriller
"Watcher in the Woods, The (1980)",Thriller
Along Came a Spider (2001),Thriller
Amateur (1994),Thriller
"Double, The (2013)",Thriller
21 (2008),Thriller
"Life Less Ordinary, A (1997)",Thriller
Ffolkes (1979),Thriller
Stigmata (1999),Thriller
"Man Apart, A (2003)",Thriller
Ringu (Ring) (1998),Thriller
"Guardian, The (1990)",Thriller
The Dressmaker (2015),Thriller
Battle Royale 2: Requiem (Batoru rowaiaru II: Chinkonka) (2003),Thriller
Wild Things (1998),Thriller
Scream 2 (1997),Thriller
Dead End (2003),Thriller
Psycho (1998),Thriller
Sherlock Holmes and the Secret Weapon (1942),Thriller
Confidential Report (1955),Thriller
Panic Room (2002),Thriller
Dante's Peak (1997),Thriller
Abraham Lincoln: Vampire Hunter (2012),Thriller
"Spirit, The (2008)",Thriller
"Limey, The (1999)",Thriller
Sherlock Holmes: A Game of Shadows (2011),Thriller
AVP: Alien vs. Predator (2004),Thriller
X-Men: The Last Stand (2006),Thriller
Byzantium (2012),Thriller
"Captive, The (2014)",Thriller
Anaconda: The Offspring (2008),Thriller
Surviving the Game (1994),Thriller
Zero Dark Thirty (2012),Thriller
The Trust (2016),Thriller
Stealth (2005),Thriller
Point Break (1991),Thriller
"River Wild, The (1994)",Thriller
3000 Miles to Graceland (2001),Thriller
Annihilation (2018),Thriller
"Lady Vanishes, The (1938)",Thriller
"Time to Kill, A (1996)",Thriller
Thesis (Tesis) (1996),Thriller
Out Cold (1989),Thriller
Starsky & Hutch (2004),Thriller
"Blood In, Blood Out (1993)",Thriller
Body of Evidence (1993),Thriller
Jin Roh: The Wolf Brigade (Jin-Rô) (1998),Thriller
"Purge: Anarchy, The (2014)",Thriller
"Amityville Horror, The (2005)",Thriller
"Witches of Eastwick, The (1987)",Thriller
Unfaithful (2002),Thriller
"Specialist, The (1994)",Thriller
"Accidental Spy, The (Dak miu mai shing) (2001)",Thriller
Delta Force 2 (Delta Force 2: The Colombian Connection) (1990),Thriller
"Godzilla 1985: The Legend Is Reborn (Gojira) (Godzilla) (Return of Godzilla, The) (1984)",Thriller
Creep (2004),Thriller
"Lawnmower Man, The (1992)",Thriller
"Public Eye, The (1992)",Thriller
Defiance (2008),Thriller
Rogue (2007),Thriller
"Frighteners, The (1996)",Thriller
Diabolique (Les diaboliques) (1955),Thriller
Enemy (2013),Thriller
All About Lily Chou-Chou (Riri Shushu no subete) (2001),Thriller
Michael Clayton (2007),Thriller
American Psycho (2000),Thriller
Remo Williams: The Adventure Begins (1985),Thriller
"People Under the Stairs, The (1991)",Thriller
"Better Tomorrow, A (Ying hung boon sik) (1986)",Thriller
Swimming Pool (2003),Thriller
"Da Vinci Code, The (2006)",Thriller
Northwest Passage (1940),Thriller
Red State (2011),Thriller
Manhunter (1986),Thriller
Timecop (1994),Thriller
Stay (2005),Thriller
Face/Off (1997),Thriller
Atomic Blonde (2017),Thriller
"Stepford Wives, The (1975)",Thriller
Run (1991),Thriller
"Crimson Rivers 2: Angels of the Apocalypse (Rivières pourpres II - Les anges de l'apocalypse, Les) (2004)",Thriller
Insidious (2010),Thriller
B. Monkey (1998),Thriller
Blown Away (1994),Thriller
"Wages of Fear, The (Salaire de la peur, Le) (1953)",Thriller
Saw V (2008),Thriller
Body Double (1984),Thriller
"Losers, The (2010)",Thriller
Captain America: Civil War (2016),Thriller
"Birds, The (1963)",Thriller
Paranormal Activity (2009),Thriller
I'm Not Scared (Io non ho paura) (2003),Thriller
Prince of Darkness (1987),Thriller
Book of Shadows: Blair Witch 2 (2000),Thriller
Straw Dogs (1971),Thriller
Bunny Lake Is Missing (1965),Thriller
"Moustache, La (2005)",Thriller
Jackie Brown (1997),Thriller
Cold Creek Manor (2003),Thriller
Gothika (2003),Thriller
London Has Fallen (2016),Thriller
Intact (Intacto) (2001),Thriller
"Equalizer, The (2014)",Thriller
"Happening, The (2008)",Thriller
My Bloody Valentine 3-D (2009),Thriller
Death Wish (2018),Thriller
Original Sin (2001),Thriller
Coffy (1973),Thriller
[REC] (2007),Thriller
Double Jeopardy (1999),Thriller
Seeking Justice (2011),Thriller
Runaway Train (1985),Thriller
Bloodsport III (1996),Thriller
Joint Security Area (Gongdong gyeongbi guyeok JSA) (2000),Thriller
Spider-Man 3 (2007),Thriller
"Invasion, The (2007)",Thriller
I Stand Alone (Seul contre tous) (1998),Thriller
Reservoir Dogs (1992),Thriller
"With a Friend Like Harry... (Harry, un ami qui vous veut du bien) (2000)",Thriller
"Strangers, The (2008)",Thriller
I Know Who Killed Me (2007),Thriller
Dead Silence (2007),Thriller
Coherence (2013),Thriller
Valkyrie (2008),Thriller
"Crow, The (1994)",Thriller
"Saint, The (1997)",Thriller
Mystère à la Tour Eiffel (2015),Thriller
I Am Wrath (2016),Thriller
Psycho III (1986),Thriller
Infernal Affairs 2 (Mou gaan dou II) (2003),Thriller
"Little Girl Who Lives Down the Lane, The (1976)",Thriller
Beverly Hills Cop II (1987),Thriller
Freezer (2014),Thriller
Echelon Conspiracy (2009),Thriller
Sliver (1993),Thriller
"French Connection, The (1971)",Thriller
Gorky Park (1983),Thriller
Hellbenders (2012),Thriller
Sinister (2012),Thriller
State of Grace (1990),Thriller
"China Syndrome, The (1979)",Thriller
Into the Grizzly Maze (2015),Thriller
"Last House on the Left, The (1972)",Thriller
Phone Booth (2002),Thriller
Premonition (2007),Thriller
Snatch (2000),Thriller
Homefront (2013),Thriller
Devil in a Blue Dress (1995),Thriller
Salvation Boulevard (2011),Thriller
Wait Until Dark (1967),Thriller
Rosemary's Baby (1968),Thriller
Before the Devil Knows You're Dead (2007),Thriller
Mesrine: Killer Instinct (L'instinct de mort) (2008),Thriller
"Crimson Rivers, The (Rivières pourpres, Les) (2000)",Thriller
Hitman: Agent 47 (2015),Thriller
"10th Victim, The (La decima vittima) (1965)",Thriller
Total Recall (2012),Thriller
"Manhattan Project, The (1986)",Thriller
SuperFly (2018),Thriller
Con Air (1997),Thriller
Frailty (2001),Thriller
"Gingerbread Man, The (1998)",Thriller
Extreme Ops (2002),Thriller
Stakeout (1987),Thriller
Escape from Alcatraz (1979),Thriller
Godsend (2004),Thriller
Jack Reacher: Never Go Back (2016),Thriller
"Stranger, The (1946)",Thriller
"Spy Who Loved Me, The (1977)",Thriller
Stone (2010),Thriller
Blade II (2002),Thriller
Open Your Eyes (Abre los ojos) (1997),Thriller
Deep Impact (1998),Thriller
When a Stranger Calls (2006),Thriller
Bloodmoon (1997),Thriller
Bleeder (1999),Thriller
"Town, The (2010)",Thriller
28 Weeks Later (2007),Thriller
Blood Work (2002),Thriller
Vertigo (1958),Thriller
Dunkirk (2017),Thriller
"Day the Earth Stood Still, The (2008)",Thriller
Pusher (1996),Thriller
Hangar 18 (1980),Thriller
"Tinker, Tailor, Soldier, Spy (1979)",Thriller
Garm Wars: The Last Druid (2014),Thriller
Limitless (2011),Thriller
Femme Fatale (2002),Thriller
Eve of Destruction (1991),Thriller
Cujo (1983),Thriller
Impostor (2002),Thriller
Palmetto (1998),Thriller
"Believers, The (1987)",Thriller
"Messengers, The (2007)",Thriller
X2: X-Men United (2003),Thriller
Kiss Kiss Bang Bang (2005),Thriller
U.S. Marshals (1998),Thriller
"Simple Plan, A (1998)",Thriller
Seven Sisters (2017),Thriller
"Mummy Returns, The (2001)",Thriller
'71 (2014),Thriller
Fire Down Below (1997),Thriller
Seconds (1966),Thriller
Alien Nation (1988),Thriller
Die Another Day (2002),Thriller
Eye for an Eye (1996),Thriller
Maze Runner: Scorch Trials (2015),Thriller
Tomorrow Never Dies (1997),Thriller
A Man Called Blade (1977),Thriller
Mission: Impossible - Ghost Protocol (2011),Thriller
House of Games (1987),Thriller
Clockstoppers (2002),Thriller
Police Story (Ging chaat goo si) (1985),Thriller
Inside (À l'intérieur) (2007),Thriller
Blood: The Last Vampire (2009),Thriller
Maniac Cop (1988),Thriller
JCVD (2008),Thriller
Sin City (2005),Thriller
"Fallen Idol, The (1948)",Thriller
Performance (1970),Thriller
Sea of Love (1989),Thriller
Syriana (2005),Thriller
Public Enemies (2009),Thriller
Speed 2: Cruise Control (1997),Thriller
"American Haunting, An (2005)",Thriller
Hackers (1995),Thriller
Riki-Oh: The Story of Ricky (Lik Wong) (1991),Thriller
Signs (2002),Thriller
Outbreak (1995),Thriller
Raiders of the Lost Ark: The Adaptation (1989),Thriller
The Green Prince (2014),Thriller
"Cat's Meow, The (2002)",Thriller
Mission: Impossible - Fallout (2018),Thriller
Antitrust (2001),Thriller
Harvard Man (2001),Thriller
The Shining (1997),Thriller
"Mighty Heart, A (2007)",Thriller
Winter's Bone (2010),Thriller
"Chase, The (1994)",Thriller
"Seventh Sign, The (1988)",Thriller
"Crow, The: Wicked Prayer (2005)",Thriller
Duplicity (2009),Thriller
"I, Robot (2004)",Thriller
Primal Fear (1996),Thriller
White House Down (2013),Thriller
Confessions of a Dangerous Mind (2002),Thriller
Cursed (2005),Thriller
Shaft (1971),Thriller
Digging Up the Marrow (2014),Thriller
Captain America: The First Avenger (2011),Thriller
"Last Exorcism, The (2010)",Thriller
Stray Dog (Nora inu) (1949),Thriller
Breach (2007),Thriller
Bad Education (La mala educación) (2004),Thriller
Killshot (2008),Thriller
"Warriors, The (1979)",Thriller
"Cercle Rouge, Le (Red Circle, The) (1970)",Thriller
"Eye, The (Gin gwai) (Jian gui) (2002)",Thriller
"Roaring Twenties, The (1939)",Thriller
Blind Fury (1989),Thriller
Unedited Footage of a Bear (2014),Thriller
2012 (2009),Thriller
Red Corner (1997),Thriller
GoldenEye (1995),Thriller
American Made (2017),Thriller
Phantom of the Paradise (1974),Thriller
Swelter (2014),Thriller
The Stanford Prison Experiment (2015),Thriller
To Die For (1995),Thriller
Kiss of Death (1995),Thriller
Key Largo (1948),Thriller
Dying of the Light (2014),Thriller
Southland Tales (2006),Thriller
Gaslight (1944),Thriller
187 (One Eight Seven) (1997),Thriller
Safe (2012),Thriller
Max Payne (2008),Thriller
"Fugitive, The (1993)",Thriller
Crash (1996),Thriller
Land of the Dead (2005),Thriller
"Omega Man, The (1971)",Thriller
"Wicker Man, The (2006)",Thriller
Passion (2012),Thriller
White Dog (1982),Thriller
Secret Window (2004),Thriller
Darkness Falls (2003),Thriller
Birdemic: Shock and Terror (2010),Thriller
Sherlock Holmes: Terror by Night (1946),Thriller
L.A. Confidential (1997),Thriller
Casino Royale (2006),Thriller
Sleuth (2007),Thriller
2048: Nowhere to Run (2017),Thriller
Hard Target (1993),Thriller
"Covenant, The (2006)",Thriller
Blink (1994),Thriller
Badlands (1973),Thriller
Black Mirror: White Christmas (2014),Thriller
Perfect Blue (1997),Thriller
Scream 3 (2000),Thriller
"Relic, The (1997)",Thriller
"Innocents, The (1961)",Thriller
Tell No One (Ne le dis à personne) (2006),Thriller
Anaconda (1997),Thriller
Dressed to Kill (1980),Thriller
"Russia House, The (1990)",Thriller
Tiger Raid (2016),Thriller
Frankenstein (2015),Thriller
"Conjuring, The (2013)",Thriller
Snake Eyes (1998),Thriller
"Invisible, The (2007)",Thriller
Beverly Hills Cop III (1994),Thriller
Futureworld (1976),Thriller
Body Heat (1981),Thriller
Elevator to the Gallows (a.k.a. Frantic) (Ascenseur pour l'échafaud) (1958),Thriller
Open Water 2: Adrift (2006),Thriller
Suspicion (1941),Thriller
"Patriot, The (1998)",Thriller
Willard (2003),Thriller
Eraser (1996),Thriller
Red Rock West (1992),Thriller
"Big Bounce, The (2004)",Thriller
Awake (2007),Thriller
Gangster No. 1 (2000),Thriller
Cop Car (2015),Thriller
Frantic (1988),Thriller
"Counselor, The (2013)",Thriller
"Deaths of Ian Stone, The (2007)",Thriller
Zodiac (2007),Thriller
Magnum Force (1973),Thriller
Bad Day at Black Rock (1955),Thriller
"As Above, So Below (2014)",Thriller
Painted Skin (2008),Thriller
Runner Runner (2013),Thriller
Twister (1996),Thriller
Green Zone (2010),Thriller
Day of the Dead (1985),Thriller
Cape Fear (1962),Thriller
Assassination (1987),Thriller
Iron Man 2 (2010),Thriller
"Collector, The (1965)",Thriller
"Protector, The (1985)",Thriller
"Pan's Labyrinth (Laberinto del fauno, El) (2006)",Thriller
Oxygen (1999),Thriller
North by Northwest (1959),Thriller
Brake (2012),Thriller
Suicide Kings (1997),Thriller
Savages (2012),Thriller
Split (2017),Thriller
Cold in July (2014),Thriller
Out of Sight (1998),Thriller
Desperate Measures (1998),Thriller
"Third Man, The (1949)",Thriller
"Lives of Others, The (Das leben der Anderen) (2006)",Thriller
Drop Zone (1994),Thriller
Tango & Cash (1989),Thriller
"Thomas Crown Affair, The (1968)",Thriller
"Forgotten, The (2004)",Thriller
Escape from L.A. (1996),Thriller
Thirteen Days (2000),Thriller
Self/less (2015),Thriller
Sweeney Todd: The Demon Barber of Fleet Street (2007),Thriller
Brother (2000),Thriller
Maggie (2015),Thriller
"Cabin in the Woods, The (2012)",Thriller
xXx (2002),Thriller
"Mosquito Coast, The (1986)",Thriller
Don't Say a Word (2001),Thriller
"Roman J. Israel, Esq. (2017)",Thriller
"Spanish Prisoner, The (1997)",Thriller
Raising Cain (1992),Thriller
"Last Wave, The (1977)",Thriller
Juice (1992),Thriller
Tremors 4: The Legend Begins (2004),Thriller
Pathology (2008),Thriller
RoboCop 3 (1993),Thriller
Cape Fear (1991),Thriller
Body Parts (1991),Thriller
"Man Who Knew Too Much, The (1934)",Thriller
Assassination Tango (2002),Thriller
Carrie (1976),Thriller
Resident Evil (2002),Thriller
Black Book (Zwartboek) (2006),Thriller
Chinatown (1974),Thriller
Cassandra's Dream (2007),Thriller
Prime Suspect 2 (1992),Thriller
"Glass House, The (2001)",Thriller
Wild Tales (2014),Thriller
Puppet Master (1989),Thriller
So I Married an Axe Murderer (1993),Thriller
"Last Boy Scout, The (1991)",Thriller
Cage Dive (2017),Thriller
"Talk of the Town, The (1942)",Thriller
Rope (1948),Thriller
Bloodsport: The Dark Kumite (1999),Thriller
White Sands (1992),Thriller
Eagle Eye (2008),Thriller
Chopper (2000),Thriller
"10,000 BC (2008)",Thriller
"Pact, The (2012)",Thriller
Thief (1981),Thriller
Cloverfield (2008),Thriller
"Perfect Getaway, A (2009)",Thriller
Snipes (2001),Thriller
"Manchurian Candidate, The (2004)",Thriller
Communion (1989),Thriller
Crank (2006),Thriller
For a Few Dollars More (Per qualche dollaro in più) (1965),Thriller
Rififi (Du rififi chez les hommes) (1955),Thriller
"Changeling, The (1980)",Thriller
The Raid 2: Berandal (2014),Thriller
Fear X (2003),Thriller
Paradise Now (2005),Thriller
Invasion of the Body Snatchers (1956),Thriller
From Dusk Till Dawn (1996),Thriller
Color of Night (1994),Thriller
Law Abiding Citizen (2009),Thriller
"Ledge, The (2011)",Thriller
"Bodyguard, The (1992)",Thriller
Apollo 18 (2011),Thriller
"Girl with the Dragon Tattoo, The (2011)",Thriller
I Saw What You Did (1965),Thriller
Blow Out (1981),Thriller
"Killer, The (Die xue shuang xiong) (1989)",Thriller
Hard-Boiled (Lat sau san taam) (1992),Thriller
Citizen X (1995),Thriller
King Solomon's Mines (1937),Thriller
Moonraker (1979),Thriller
"Contender, The (2000)",Thriller
Wasabi (2001),Thriller
Runaway (1984),Thriller
13 Sins (2014),Thriller
In Bruges (2008),Thriller
"Cell, The (2000)",Thriller
We Are What We Are (2013),Thriller
Knowing (2009),Thriller
Pacific Heights (1990),Thriller
